accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,precision,tiempo
0.755,11,7,10000,0.771735,1300,1150,3662,3888,0.749422,9235
0.7548,12,7,10000,0.771933,1303,1149,3659,3889,0.749037,9532
0.7486,13,7,10000,0.757245,1291,1223,3671,3815,0.74716,10185
0.7442,14,7,10000,0.756054,1329,1229,3633,3809,0.741339,10881
0.7452,15,7,10000,0.75923,1335,1213,3627,3825,0.741279,11557
0.5595,1,8,10000,0.569274,2235,2170,2727,2868,0.562022,1569
0.7358,2,8,10000,0.746923,1367,1275,3595,3763,0.733528,2243
0.7397,3,8,10000,0.740373,1295,1308,3667,3730,0.742289,2930
0.7418,4,8,10000,0.742358,1284,1298,3678,3740,0.744427,3491
0.7456,5,8,10000,0.750496,1287,1257,3675,3781,0.746054,4262
0.7407,6,8,10000,0.751687,1342,1251,3620,3787,0.738351,4779
0.7455,7,8,10000,0.753871,1305,1240,3657,3798,0.744268,5497
0.7403,8,8,10000,0.744343,1309,1288,3653,3750,0.741253,6259
0.7413,9,8,10000,0.754863,1352,1235,3610,3803,0.73773,7750
0.7428,10,8,10000,0.757245,1349,1223,3613,3815,0.738768,8283
0.7532,11,8,10000,0.770345,1311,1157,3651,3881,0.747496,13404
0.7526,12,8,10000,0.764589,1288,1186,3674,3852,0.749416,10305
0.7505,13,8,10000,0.762803,1300,1195,3662,3843,0.747229,11175
0.7489,14,8,10000,0.759627,1300,1211,3662,3827,0.74644,11560
0.7476,15,8,10000,0.759031,1310,1214,3652,3824,0.744838,13025
0.5576,1,9,10000,0.563914,2227,2197,2735,2841,0.560576,1677
0.7396,2,9,10000,0.752481,1357,1247,3605,3791,0.736402,2265
0.745,3,9,10000,0.745335,1267,1283,3695,3755,0.74771,3079
0.7436,4,9,10000,0.746526,1287,1277,3675,3761,0.745048,4194
0.7503,5,9,10000,0.756848,1272,1225,3690,3813,0.749853,4840
0.7446,6,9,10000,0.751092,1300,1254,3662,3784,0.744296,9142
0.7489,7,9,10000,0.763795,1321,1190,3641,3848,0.744438,5221
0.7515,8,9,10000,0.764986,1301,1184,3661,3854,0.747624,8164
0.7442,9,9,10000,0.763795,1368,1190,3594,3848,0.73773,8407
0.7471,10,9,10000,0.765185,1346,1183,3616,3855,0.741204,8842
0.7473,11,9,10000,0.765582,1346,1181,3616,3857,0.741303,9227
0.759,12,9,10000,0.776697,1285,1125,3677,3913,0.75279,10063
0.7536,13,9,10000,0.762406,1267,1197,3695,3841,0.751958,11913
0.7526,14,9,10000,0.767963,1305,1169,3657,3869,0.747777,12368
0.7536,15,9,10000,0.774315,1327,1137,3635,3901,0.746174,13712
0.5658,1,10,10000,0.57106,2181,2161,2781,2877,0.568802,1831
0.7399,2,10,10000,0.753474,1359,1242,3603,3796,0.736372,2431
0.7414,3,10,10000,0.744541,1299,1287,3663,3751,0.742772,3038
0.7449,4,10,10000,0.747916,1281,1270,3681,3768,0.746286,3613
0.7433,5,10,10000,0.755459,1335,1232,3627,3806,0.740323,4650
0.7449,6,10,10000,0.754665,1315,1236,3647,3802,0.743013,6738
0.7491,7,10,10000,0.763001,1315,1194,3647,3844,0.745106,6105
0.7481,8,10,10000,0.757245,1296,1223,3666,3815,0.746429,7456
0.7507,9,10,10000,0.767368,1321,1172,3641,3866,0.745325,13117
0.7485,10,10,10000,0.763001,1321,1194,3641,3844,0.74424,10543
0.7572,11,10,10000,0.775109,1295,1133,3667,3905,0.750962,12139
0.7582,12,10,10000,0.777293,1296,1122,3666,3916,0.751343,12887
0.753,13,10,10000,0.766773,1295,1175,3667,3863,0.748934,12011
0.7514,14,10,10000,0.762406,1289,1197,3673,3841,0.748733,14219
0.7518,15,10,10000,0.766376,1305,1177,3657,3861,0.747387,14645
0.5651,1,11,10000,0.56709,2168,2181,2794,2857,0.568557,1996
0.744,2,11,10000,0.75923,1347,1213,3615,3825,0.739559,3395
0.7464,3,11,10000,0.750496,1279,1257,3683,3781,0.747233,3109
0.7493,4,11,10000,0.753275,1264,1243,3698,3795,0.750148,5367
0.7485,5,11,10000,0.758833,1300,1215,3662,3823,0.746242,4969
0.748,6,11,10000,0.761413,1318,1202,3644,3836,0.744276,5478
0.7513,7,11,10000,0.769154,1324,1163,3638,3875,0.745336,7263
0.7452,8,11,10000,0.757642,1327,1221,3635,3817,0.74203,6326
0.7478,9,11,10000,0.768757,1357,1165,3605,3873,0.740535,8012
0.7482,10,11,10000,0.76717,1345,1173,3617,3865,0.741843,8692
0.7481,11,11,10000,0.769154,1356,1163,3606,3875,0.740776,9285
0.7616,12,11,10000,0.778682,1269,1115,3693,3923,0.755586,9923
0.7556,13,11,10000,0.775308,1312,1132,3650,3906,0.748563,10619
0.7571,14,11,10000,0.77372,1289,1140,3673,3898,0.751494,11123
0.7628,15,11,10000,0.778682,1257,1115,3705,3923,0.757336,11860
0.5684,1,12,10000,0.569274,2146,2170,2816,2868,0.571998,1663
0.7447,2,12,10000,0.762207,1355,1198,3607,3840,0.739172,2877
0.7454,3,12,10000,0.750496,1289,1257,3673,3781,0.745759,3220
0.7469,4,12,10000,0.752481,1284,1247,3678,3791,0.746995,3297
0.7489,5,12,10000,0.759825,1301,1210,3661,3828,0.746344,4328
0.7518,6,12,10000,0.764788,1297,1185,3665,3853,0.748155,4722
0.7541,7,12,10000,0.771536,1308,1151,3654,3887,0.748219,5301
0.747,8,12,10000,0.759627,1319,1211,3643,3827,0.743684,6017
0.7499,9,12,10000,0.772132,1353,1148,3609,3890,0.741942,7534
0.7476,10,12,10000,0.764788,1339,1185,3623,3853,0.742103,8131
0.761,11,12,10000,0.776697,1265,1125,3697,3913,0.755697,8762
0.7615,12,12,10000,0.779079,1272,1113,3690,3925,0.755243,9433
0.7589,13,12,10000,0.770941,1257,1154,3705,3884,0.755495,9969
0.7581,14,12,10000,0.774117,1281,1138,3681,3900,0.75275,10573
0.7572,15,12,10000,0.772727,1283,1145,3679,3893,0.752125,13320
0.5709,1,13,10000,0.574831,2149,2142,2813,2896,0.574034,2183
0.7468,2,13,10000,0.762406,1335,1197,3627,3841,0.742079,2110
0.7481,3,13,10000,0.755062,1285,1234,3677,3804,0.747495,2735
0.7513,4,13,10000,0.758436,1270,1217,3692,3821,0.75054,3848
0.7572,5,13,10000,0.76578,1248,1180,3714,3858,0.755582,4870
0.7524,6,13,10000,0.7632,1283,1193,3679,3845,0.749805,5942
0.7535,7,13,10000,0.770941,1311,1154,3651,3884,0.747642,6308
0.7535,8,13,10000,0.766971,1291,1174,3671,3864,0.749564,6631
0.7523,9,13,10000,0.772727,1332,1145,3630,3893,0.745072,10333
0.7509,10,13,10000,0.776102,1363,1128,3599,3910,0.741513,9433
0.7612,11,13,10000,0.782652,1293,1095,3669,3943,0.753056,14020
0.7624,12,13,10000,0.783843,1287,1089,3675,3949,0.754202,11059
0.7576,13,13,10000,0.777491,1303,1121,3659,3917,0.750383,12707
0.757,14,13,10000,0.774712,1295,1135,3667,3903,0.750866,12281
0.7578,15,13,10000,0.7763,1295,1127,3667,3911,0.751249,13278
0.5697,1,14,10000,0.569869,2136,2167,2826,2871,0.573397,1862
0.7482,2,14,10000,0.765582,1337,1181,3625,3857,0.742588,2840
0.7483,3,14,10000,0.754069,1278,1239,3684,3799,0.748277,4113
0.7519,4,14,10000,0.756451,1254,1227,3708,3811,0.752419,3935
0.752,5,14,10000,0.760421,1273,1207,3689,3831,0.750588,5089
0.753,6,14,10000,0.760619,1264,1206,3698,3832,0.751962,6318
0.7559,7,14,10000,0.771735,1291,1150,3671,3888,0.750724,8768
0.751,8,14,10000,0.76578,1310,1180,3652,3858,0.746517,7260
0.7492,9,14,10000,0.772727,1363,1145,3599,3893,0.740677,8062
0.7515,10,14,10000,0.776102,1357,1128,3605,3910,0.742358,8541
0.7589,11,14,10000,0.779277,1299,1112,3663,3926,0.751388,9514
0.7652,12,14,10000,0.783247,1256,1092,3706,3946,0.758554,10162
0.7582,13,14,10000,0.777491,1297,1121,3665,3917,0.751247,11083
0.7596,14,14,10000,0.776499,1278,1126,3684,3912,0.753757,11349
0.7543,15,14,10000,0.774712,1322,1135,3640,3903,0.746986,13192
0.5669,1,15,10000,0.572052,2175,2156,2787,2882,0.569903,2099
0.7479,2,15,10000,0.765979,1342,1179,3620,3859,0.741973,2511
0.7506,3,15,10000,0.754268,1256,1238,3706,3800,0.751582,3034
0.7521,4,15,10000,0.756848,1254,1225,3708,3813,0.752516,3825
0.7497,5,15,10000,0.763597,1312,1191,3650,3847,0.745687,5773
0.7513,6,15,10000,0.766574,1311,1176,3651,3862,0.746569,8472
0.7579,7,15,10000,0.777293,1299,1122,3663,3916,0.750911,6036
0.749,8,15,10000,0.765383,1328,1182,3634,3856,0.743827,7143
0.7529,9,15,10000,0.778682,1356,1115,3606,3923,0.743133,8689
0.7501,10,15,10000,0.775109,1366,1133,3596,3905,0.740846,8970
0.7629,11,15,10000,0.788011,1303,1068,3659,3970,0.752892,9961
0.7666,12,15,10000,0.791187,1282,1052,3680,3986,0.756644,11503
0.7624,13,15,10000,0.784041,1288,1088,3674,3950,0.754105,11716
0.7603,14,15,10000,0.781659,1297,1100,3665,3938,0.752245,11495
0.7631,15,15,10000,0.784041,1281,1088,3681,3950,0.755114,13740
