accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.7584,13,12,10000,0.773124,1273,1143,3689,3895,7639
0.4962,14,12,10000,0,0,5038,4962,0,66
0.7468,2,13,10000,0.762406,1335,1197,3627,3841,1885
0.7477,3,13,10000,0.755459,1291,1232,3671,3806,2470
0.7513,4,13,10000,0.758436,1270,1217,3692,3821,2925
0.7554,5,13,10000,0.767566,1275,1171,3687,3867,3498
0.7461,6,13,10000,0.756848,1314,1225,3648,3813,4187
0.7529,7,13,10000,0.769948,1312,1159,3650,3879,4545
0.7535,8,13,10000,0.771139,1312,1153,3650,3885,4972
0.7499,9,13,10000,0.770742,1346,1155,3616,3883,5715
0.7498,10,13,10000,0.772926,1358,1144,3604,3894,6126
0.7628,11,13,10000,0.78285,1278,1094,3684,3944,7048
0.7623,12,13,10000,0.78424,1290,1087,3672,3951,7618
0.758,13,13,10000,0.776102,1292,1128,3670,3910,8447
0.4962,14,13,10000,0,0,5038,4962,0,66
0.7482,2,14,10000,0.765582,1337,1181,3625,3857,2315
0.7475,3,14,10000,0.751886,1275,1250,3687,3788,2867
0.7514,4,14,10000,0.756848,1261,1225,3701,3813,3040
0.7543,5,14,10000,0.764391,1270,1187,3692,3851,3641
0.7489,6,14,10000,0.758833,1296,1215,3666,3823,4326
0.7519,7,14,10000,0.766971,1307,1174,3655,3864,4448
0.7508,8,14,10000,0.763795,1302,1190,3660,3848,4918
0.7505,9,14,10000,0.76836,1328,1167,3634,3871,6027
0.7527,10,14,10000,0.775109,1340,1133,3622,3905,6591
0.7629,11,14,10000,0.781262,1269,1102,3693,3936,6997
0.7616,12,14,10000,0.786423,1308,1076,3654,3962,7280
0.7604,13,14,10000,0.781064,1293,1103,3669,3935,7902
0.4962,14,14,10000,0,0,5038,4962,0,64
