accuracy,alpha,k,testing entries,recall,falseP,falseN,trueN,trueP,tiempo
0.5402,114.71428571428571,64,25000,0.98184,11268,227,1232,12273,35081
0.7106,128.92857142857142,64,25000,0.54072,1494,5741,11006,6759,125459
0.5302,143.14285714285714,64,25000,0.9868,11580,165,920,12335,43549
0.52904,157.35714285714286,64,25000,0.98864,11632,142,868,12358,47783
0.52608,171.57142857142856,64,25000,0.9884,11703,145,797,12355,51674
0.52376,185.78571428571428,64,25000,0.98944,11774,132,726,12368,55782
0.76636,15.214285714285714,71,25000,0.7656,2911,2930,9589,9570,17473
0.64868,29.428571428571427,71,25000,0.92808,7884,899,4616,11601,9507
0.74992,43.64285714285714,71,25000,0.69336,2419,3833,10081,8667,43888
0.748,57.857142857142854,71,25000,0.67248,2206,4094,10294,8406,57449
0.74112,72.07142857142857,71,25000,0.64072,1981,4491,10519,8009,71546
0.73444,86.28571428571428,71,25000,0.60712,1728,4911,10772,7589,85064
0.72472,100.5,71,25000,0.57632,1586,5296,10914,7204,98512
0.53516,114.71428571428571,71,25000,0.98536,11438,183,1062,12317,35005
0.7086,128.92857142857142,71,25000,0.53112,1424,5861,11076,6639,125150
0.52508,143.14285714285714,71,25000,0.98928,11739,134,761,12366,43492
0.52308,157.35714285714286,71,25000,0.99224,11826,97,674,12403,47875
0.52012,171.57142857142856,71,25000,0.99088,11883,114,617,12386,51749
0.51864,185.78571428571428,71,25000,0.992,11934,100,566,12400,55939
0.76608,15.214285714285714,78,25000,0.76528,2914,2934,9586,9566,17348
0.64592,29.428571428571427,78,25000,0.93144,7995,857,4505,11643,9482
0.75104,43.64285714285714,78,25000,0.69328,2390,3834,10110,8666,44075
0.7476,57.857142857142854,78,25000,0.6708,2195,4115,10305,8385,57480
0.74348,72.07142857142857,78,25000,0.64232,1942,4471,10558,8029,71735
0.7352,86.28571428571428,78,25000,0.60792,1719,4901,10781,7599,85035
0.72428,100.5,78,25000,0.57176,1540,5353,10960,7147,98525
