accuracy,k,max_vocab_freq,testing entries,tiempo,metodo
0.785,72.07142857142857,0.27142857142857146,2000,11209,Inverted Index KNN
0.8015,72.07142857142857,0.3285714285714286,2000,41695,KNN
0.7795,72.07142857142857,0.3285714285714286,2000,13298,Inverted Index KNN
0.8065,72.07142857142857,0.3857142857142858,2000,43228,KNN
0.795,72.07142857142857,0.3857142857142858,2000,16738,Inverted Index KNN
0.791,72.07142857142857,0.44285714285714284,2000,45991,KNN
0.7765,72.07142857142857,0.44285714285714284,2000,21787,Inverted Index KNN
0.776,72.07142857142857,0.5,2000,48024,KNN
0.766,72.07142857142857,0.5,2000,23834,Inverted Index KNN
0.7795,72.07142857142857,0.5571428571428572,2000,48999,KNN
0.7635,72.07142857142857,0.5571428571428572,2000,28106,Inverted Index KNN
0.7545,72.07142857142857,0.6142857142857143,2000,51338,KNN
0.744,72.07142857142857,0.6142857142857143,2000,32224,Inverted Index KNN
0.7425,72.07142857142857,0.6714285714285715,2000,52303,KNN
0.731,72.07142857142857,0.6714285714285715,2000,34009,Inverted Index KNN
0.7345,72.07142857142857,0.7285714285714286,2000,53471,KNN
0.734,72.07142857142857,0.7285714285714286,2000,35122,Inverted Index KNN
0.7345,72.07142857142857,0.7857142857142857,2000,53261,KNN
0.734,72.07142857142857,0.7857142857142857,2000,35263,Inverted Index KNN
0.7405,72.07142857142857,0.8428571428571429,2000,53863,KNN
0.7405,72.07142857142857,0.8428571428571429,2000,37679,Inverted Index KNN
0.798,86.28571428571428,0.15714285714285714,2000,31548,KNN
0.7635,86.28571428571428,0.15714285714285714,2000,5454,Inverted Index KNN
0.809,86.28571428571428,0.2142857142857143,2000,35140,KNN
0.7735,86.28571428571428,0.2142857142857143,2000,8526,Inverted Index KNN
0.806,86.28571428571428,0.27142857142857146,2000,38793,KNN
0.782,86.28571428571428,0.27142857142857146,2000,11331,Inverted Index KNN
0.8005,86.28571428571428,0.3285714285714286,2000,41824,KNN
0.775,86.28571428571428,0.3285714285714286,2000,13313,Inverted Index KNN
0.812,86.28571428571428,0.3857142857142858,2000,43462,KNN
0.792,86.28571428571428,0.3857142857142858,2000,16670,Inverted Index KNN
0.7925,86.28571428571428,0.44285714285714284,2000,45925,KNN
0.7755,86.28571428571428,0.44285714285714284,2000,21784,Inverted Index KNN
0.783,86.28571428571428,0.5,2000,48193,KNN
0.7685,86.28571428571428,0.5,2000,23849,Inverted Index KNN
0.778,86.28571428571428,0.5571428571428572,2000,48953,KNN
0.774,86.28571428571428,0.5571428571428572,2000,28029,Inverted Index KNN
0.7535,86.28571428571428,0.6142857142857143,2000,51524,KNN
0.7415,86.28571428571428,0.6142857142857143,2000,32317,Inverted Index KNN
0.7415,86.28571428571428,0.6714285714285715,2000,52644,KNN
0.7335,86.28571428571428,0.6714285714285715,2000,34004,Inverted Index KNN
0.7385,86.28571428571428,0.7285714285714286,2000,53407,KNN
0.733,86.28571428571428,0.7285714285714286,2000,35269,Inverted Index KNN
0.7385,86.28571428571428,0.7857142857142857,2000,53413,KNN
0.733,86.28571428571428,0.7857142857142857,2000,35212,Inverted Index KNN
0.74,86.28571428571428,0.8428571428571429,2000,53984,KNN
0.7375,86.28571428571428,0.8428571428571429,2000,37731,Inverted Index KNN
0.8055,100.5,0.15714285714285714,2000,31356,KNN
0.758,100.5,0.15714285714285714,2000,5472,Inverted Index KNN
0.8075,100.5,0.2142857142857143,2000,35219,KNN
0.778,100.5,0.2142857142857143,2000,8537,Inverted Index KNN
0.812,100.5,0.27142857142857146,2000,38849,KNN
0.7805,100.5,0.27142857142857146,2000,11454,Inverted Index KNN
0.8065,100.5,0.3285714285714286,2000,48046,KNN
0.769,100.5,0.3285714285714286,2000,13373,Inverted Index KNN
0.8055,100.5,0.3857142857142858,2000,43495,KNN
0.7895,100.5,0.3857142857142858,2000,16651,Inverted Index KNN
0.7925,100.5,0.44285714285714284,2000,45961,KNN
0.775,100.5,0.44285714285714284,2000,21857,Inverted Index KNN
0.7785,100.5,0.5,2000,48137,KNN
0.7655,100.5,0.5,2000,23798,Inverted Index KNN
0.7795,100.5,0.5571428571428572,2000,49024,KNN
0.779,100.5,0.5571428571428572,2000,27998,Inverted Index KNN
0.7465,100.5,0.6142857142857143,2000,51510,KNN
0.737,100.5,0.6142857142857143,2000,32025,Inverted Index KNN
0.743,100.5,0.6714285714285715,2000,52163,KNN
0.735,100.5,0.6714285714285715,2000,34239,Inverted Index KNN
0.738,100.5,0.7285714285714286,2000,53283,KNN
