nombre,p,p_densidad,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-40-nodos-11,0.5,0.3,20,1000,10,40,11,20,4656955
random-760-nodos-19,0.5,0.3,20,1000,10,760,19,20,2074275635
random-190-nodos-7,0.5,0.3,20,1000,10,190,7,20,43487126
random-600-nodos-13,0.5,0.3,20,1000,10,600,13,20,1031904830
random-60-nodos-8,0.5,0.3,20,1000,10,60,8,20,5518093
random-170-nodos-9,0.5,0.3,20,1000,10,170,9,20,36908947
random-430-nodos-4,0.5,0.3,20,1000,10,430,4,20,391498930
random-420-nodos-19,0.5,0.3,20,1000,10,420,19,20,361344512
random-620-nodos-15,0.5,0.3,20,1000,10,620,15,20,1152122505
random-590-nodos-6,0.5,0.3,20,1000,10,590,6,20,986695409
random-160-nodos-1,0.5,0.3,20,1000,10,160,1,20,28979505
random-720-nodos-8,0.5,0.3,20,1000,10,720,8,20,1782365533
random-910-nodos-12,0.5,0.3,20,1000,10,910,12,20,3581706268
random-720-nodos-16,0.5,0.3,20,1000,10,720,16,20,1782929206
random-50-nodos-17,0.5,0.3,20,1000,10,50,17,20,5383160
random-90-nodos-4,0.5,0.3,20,1000,10,90,4,20,9703403
random-300-nodos-10,0.5,0.3,20,1000,10,300,10,20,148323415
random-920-nodos-15,0.5,0.3,20,1000,10,920,15,20,3690210669
random-720-nodos-14,0.5,0.3,20,1000,10,720,14,20,1806724540
random-120-nodos-11,0.5,0.3,20,1000,10,120,11,20,15805163
random-900-nodos-3,0.5,0.3,20,1000,10,900,3,20,3450589735
random-420-nodos-5,0.5,0.3,20,1000,10,420,5,20,360062661
random-630-nodos-5,0.5,0.3,20,1000,10,630,5,20,1182390529
random-550-nodos-12,0.5,0.3,20,1000,10,550,12,20,794349977
random-110-nodos-4,0.5,0.3,20,1000,10,110,4,20,13722496
random-30-nodos-3,0.5,0.3,20,1000,10,30,3,20,4501474
random-950-nodos-11,0.5,0.3,20,1000,10,950,11,20,4038497980
random-270-nodos-13,0.5,0.3,20,1000,10,270,13,20,106047075
random-200-nodos-14,0.5,0.3,20,1000,10,200,14,20,49033362
random-500-nodos-14,0.5,0.3,20,1000,10,500,14,20,602975573
random-150-nodos-3,0.5,0.3,20,1000,10,150,3,20,27548238
random-210-nodos-10,0.5,0.3,20,1000,10,210,10,20,57160456
random-330-nodos-15,0.5,0.3,20,1000,10,330,15,20,182614221
random-870-nodos-13,0.5,0.3,20,1000,10,870,13,20,3126013862
random-400-nodos-8,0.5,0.3,20,1000,10,400,8,20,320268174
random-970-nodos-11,0.5,0.3,20,1000,10,970,11,20,4276927979
random-300-nodos-9,0.5,0.3,20,1000,10,300,9,20,143585725
random-260-nodos-17,0.5,0.3,20,1000,10,260,17,20,98114412
random-440-nodos-15,0.5,0.3,20,1000,10,440,15,20,420087759
random-620-nodos-17,0.5,0.3,20,1000,10,620,17,20,1149776412
random-790-nodos-13,0.5,0.3,20,1000,10,790,13,20,2350015745
random-190-nodos-2,0.5,0.3,20,1000,10,190,2,20,44748241
random-340-nodos-0,0.5,0.3,20,1000,10,340,0,20,202598273
random-610-nodos-9,0.5,0.3,20,1000,10,610,9,20,1075259103
random-160-nodos-3,0.5,0.3,20,1000,10,160,3,20,31627719
random-930-nodos-5,0.5,0.3,20,1000,10,930,5,20,3802877408
random-160-nodos-15,0.5,0.3,20,1000,10,160,15,20,29227009
random-590-nodos-11,0.5,0.3,20,1000,10,590,11,20,976570486
random-200-nodos-11,0.5,0.3,20,1000,10,200,11,20,49274540
random-600-nodos-19,0.5,0.3,20,1000,10,600,19,20,1025834227
random-980-nodos-8,0.5,0.3,20,1000,10,980,8,20,4469904368
random-350-nodos-4,0.5,0.3,20,1000,10,350,4,20,224920320
random-60-nodos-2,0.5,0.3,20,1000,10,60,2,20,5957013
random-520-nodos-12,0.5,0.3,20,1000,10,520,12,20,663022746
random-230-nodos-3,0.5,0.3,20,1000,10,230,3,20,72020096
random-690-nodos-18,0.5,0.3,20,1000,10,690,18,20,1573987579
random-630-nodos-1,0.5,0.3,20,1000,10,630,1,20,1201157823
random-100-nodos-14,0.5,0.3,20,1000,10,100,14,20,11038123
random-100-nodos-4,0.5,0.3,20,1000,10,100,4,20,12139836
random-450-nodos-8,0.5,0.3,20,1000,10,450,8,20,441658884
random-960-nodos-9,0.5,0.3,20,1000,10,960,9,20,4141535697
random-920-nodos-16,0.5,0.3,20,1000,10,920,16,20,3705002431
random-120-nodos-9,0.5,0.3,20,1000,10,120,9,20,15684769
random-820-nodos-8,0.5,0.3,20,1000,10,820,8,20,2595890997
random-190-nodos-10,0.5,0.3,20,1000,10,190,10,20,43262719
random-490-nodos-10,0.5,0.3,20,1000,10,490,10,20,565451764
random-360-nodos-11,0.5,0.3,20,1000,10,360,11,20,235301872
random-820-nodos-13,0.5,0.3,20,1000,10,820,13,20,2611397192
