nombre,p,m,min_cant_nodos,max_cant_nodos,step_nodos,cant_nodos,nro_intento,cant_intentos,tiempo_ns
random-900-nodos-0,0.5,380,20,1000,10,900,0,5,16788483
random-640-nodos-3,0.5,380,20,1000,10,640,3,5,10912875
random-980-nodos-1,0.5,380,20,1000,10,980,1,5,22764706
random-830-nodos-3,0.5,380,20,1000,10,830,3,5,15367374
random-360-nodos-2,0.5,380,20,1000,10,360,2,5,7091612
random-310-nodos-4,0.5,380,20,1000,10,310,4,5,6489505
random-370-nodos-1,0.5,380,20,1000,10,370,1,5,7081080
random-600-nodos-4,0.5,380,20,1000,10,600,4,5,13126514
random-500-nodos-2,0.5,380,20,1000,10,500,2,5,10149452
random-680-nodos-4,0.5,380,20,1000,10,680,4,5,15368179
random-500-nodos-1,0.5,380,20,1000,10,500,1,5,9067430
random-760-nodos-1,0.5,380,20,1000,10,760,1,5,17973183
random-260-nodos-2,0.5,380,20,1000,10,260,2,5,6680812
random-170-nodos-3,0.5,380,20,1000,10,170,3,5,5318942
random-130-nodos-3,0.5,380,20,1000,10,130,3,5,6576513
random-490-nodos-2,0.5,380,20,1000,10,490,2,5,11521486
random-670-nodos-4,0.5,380,20,1000,10,670,4,5,15935536
random-900-nodos-2,0.5,380,20,1000,10,900,2,5,17164688
random-110-nodos-2,0.5,380,20,1000,10,110,2,5,5866006
random-810-nodos-2,0.5,380,20,1000,10,810,2,5,18741361
random-770-nodos-4,0.5,380,20,1000,10,770,4,5,14196603
random-750-nodos-2,0.5,380,20,1000,10,750,2,5,14010021
random-610-nodos-2,0.5,380,20,1000,10,610,2,5,11217354
random-460-nodos-0,0.5,380,20,1000,10,460,0,5,8705481
random-520-nodos-3,0.5,380,20,1000,10,520,3,5,9095475
random-150-nodos-2,0.5,380,20,1000,10,150,2,5,5911555
random-760-nodos-2,0.5,380,20,1000,10,760,2,5,15472555
random-900-nodos-4,0.5,380,20,1000,10,900,4,5,18628832
random-20-nodos-2,0.5,380,20,1000,10,20,2,5,3933617
random-760-nodos-0,0.5,380,20,1000,10,760,0,5,13752813
random-640-nodos-4,0.5,380,20,1000,10,640,4,5,12831461
random-600-nodos-0,0.5,380,20,1000,10,600,0,5,10442845
random-230-nodos-4,0.5,380,20,1000,10,230,4,5,6595848
random-310-nodos-2,0.5,380,20,1000,10,310,2,5,6722814
random-80-nodos-3,0.5,380,20,1000,10,80,3,5,4858745
random-70-nodos-2,0.5,380,20,1000,10,70,2,5,4948912
random-600-nodos-3,0.5,380,20,1000,10,600,3,5,11297038
random-590-nodos-1,0.5,380,20,1000,10,590,1,5,11866086
random-190-nodos-3,0.5,380,20,1000,10,190,3,5,6861590
random-270-nodos-2,0.5,380,20,1000,10,270,2,5,6235269
random-520-nodos-0,0.5,380,20,1000,10,520,0,5,12792050
random-570-nodos-3,0.5,380,20,1000,10,570,3,5,11177703
random-480-nodos-3,0.5,380,20,1000,10,480,3,5,9655585
random-720-nodos-3,0.5,380,20,1000,10,720,3,5,13518553
random-170-nodos-4,0.5,380,20,1000,10,170,4,5,6883320
random-160-nodos-0,0.5,380,20,1000,10,160,0,5,6177391
random-240-nodos-0,0.5,380,20,1000,10,240,0,5,7970464
random-490-nodos-4,0.5,380,20,1000,10,490,4,5,8911159
random-330-nodos-3,0.5,380,20,1000,10,330,3,5,8662575
random-260-nodos-0,0.5,380,20,1000,10,260,0,5,8517902
random-730-nodos-2,0.5,380,20,1000,10,730,2,5,19160781
random-360-nodos-4,0.5,380,20,1000,10,360,4,5,7133744
random-90-nodos-3,0.5,380,20,1000,10,90,3,5,6558385
random-610-nodos-4,0.5,380,20,1000,10,610,4,5,14757506
random-750-nodos-0,0.5,380,20,1000,10,750,0,5,14111876
random-630-nodos-2,0.5,380,20,1000,10,630,2,5,14844295
random-440-nodos-2,0.5,380,20,1000,10,440,2,5,8933414
random-880-nodos-0,0.5,380,20,1000,10,880,0,5,19561531
random-800-nodos-0,0.5,380,20,1000,10,800,0,5,15534055
random-180-nodos-2,0.5,380,20,1000,10,180,2,5,5899006
random-120-nodos-0,0.5,380,20,1000,10,120,0,5,5529675
random-960-nodos-0,0.5,380,20,1000,10,960,0,5,20075844
random-740-nodos-4,0.5,380,20,1000,10,740,4,5,15028781
random-400-nodos-4,0.5,380,20,1000,10,400,4,5,7217259
random-930-nodos-4,0.5,380,20,1000,10,930,4,5,18802751
random-360-nodos-0,0.5,380,20,1000,10,360,0,5,7144627
random-20-nodos-3,0.5,380,20,1000,10,20,3,5,4404926
random-990-nodos-0,0.5,380,20,1000,10,990,0,5,25685414
random-460-nodos-1,0.5,380,20,1000,10,460,1,5,8146166
random-970-nodos-3,0.5,380,20,1000,10,970,3,5,22279951
random-220-nodos-0,0.5,380,20,1000,10,220,0,5,6176244
random-770-nodos-1,0.5,380,20,1000,10,770,1,5,14716868
random-240-nodos-4,0.5,380,20,1000,10,240,4,5,6082649
random-990-nodos-4,0.5,380,20,1000,10,990,4,5,22276848
random-730-nodos-3,0.5,380,20,1000,10,730,3,5,12663119
random-530-nodos-0,0.5,380,20,1000,10,530,0,5,11524963
random-460-nodos-3,0.5,380,20,1000,10,460,3,5,8547307
random-600-nodos-2,0.5,380,20,1000,10,600,2,5,13564584
random-870-nodos-4,0.5,380,20,1000,10,870,4,5,18402902
random-560-nodos-0,0.5,380,20,1000,10,560,0,5,10183819
random-480-nodos-1,0.5,380,20,1000,10,480,1,5,9262966
random-940-nodos-4,0.5,380,20,1000,10,940,4,5,20339296
random-670-nodos-2,0.5,380,20,1000,10,670,2,5,11969846
random-660-nodos-1,0.5,380,20,1000,10,660,1,5,12160254
random-440-nodos-0,0.5,380,20,1000,10,440,0,5,8144185
random-880-nodos-2,0.5,380,20,1000,10,880,2,5,16323635
random-70-nodos-4,0.5,380,20,1000,10,70,4,5,5227687
random-330-nodos-4,0.5,380,20,1000,10,330,4,5,7612319
random-230-nodos-2,0.5,380,20,1000,10,230,2,5,7543154
random-810-nodos-1,0.5,380,20,1000,10,810,1,5,17426002
random-930-nodos-1,0.5,380,20,1000,10,930,1,5,17468244
random-50-nodos-0,0.5,380,20,1000,10,50,0,5,4454138
random-20-nodos-1,0.5,380,20,1000,10,20,1,5,3920998
random-220-nodos-1,0.5,380,20,1000,10,220,1,5,5693917
random-110-nodos-1,0.5,380,20,1000,10,110,1,5,6451301
random-950-nodos-2,0.5,380,20,1000,10,950,2,5,24595437
random-960-nodos-2,0.5,380,20,1000,10,960,2,5,22160390
random-980-nodos-4,0.5,380,20,1000,10,980,4,5,19342207
random-180-nodos-4,0.5,380,20,1000,10,180,4,5,5843694
random-990-nodos-2,0.5,380,20,1000,10,990,2,5,23615932
random-810-nodos-4,0.5,380,20,1000,10,810,4,5,15498497
random-890-nodos-0,0.5,380,20,1000,10,890,0,5,17347482
random-570-nodos-1,0.5,380,20,1000,10,570,1,5,10978501
random-140-nodos-2,0.5,380,20,1000,10,140,2,5,7166289
random-450-nodos-1,0.5,380,20,1000,10,450,1,5,8196326
random-170-nodos-2,0.5,380,20,1000,10,170,2,5,6779702
random-190-nodos-4,0.5,380,20,1000,10,190,4,5,6920076
random-910-nodos-0,0.5,380,20,1000,10,910,0,5,21814323
random-590-nodos-2,0.5,380,20,1000,10,590,2,5,10528503
random-700-nodos-1,0.5,380,20,1000,10,700,1,5,14076269
random-650-nodos-1,0.5,380,20,1000,10,650,1,5,12218794
random-710-nodos-1,0.5,380,20,1000,10,710,1,5,14044124
random-130-nodos-0,0.5,380,20,1000,10,130,0,5,5661420
random-770-nodos-2,0.5,380,20,1000,10,770,2,5,17478047
random-800-nodos-3,0.5,380,20,1000,10,800,3,5,15464242
random-160-nodos-4,0.5,380,20,1000,10,160,4,5,6515475
random-620-nodos-4,0.5,380,20,1000,10,620,4,5,10691104
random-80-nodos-2,0.5,380,20,1000,10,80,2,5,6313171
random-580-nodos-1,0.5,380,20,1000,10,580,1,5,10414218
random-950-nodos-3,0.5,380,20,1000,10,950,3,5,19410111
random-990-nodos-1,0.5,380,20,1000,10,990,1,5,21963536
random-340-nodos-3,0.5,380,20,1000,10,340,3,5,6769326
random-660-nodos-3,0.5,380,20,1000,10,660,3,5,12103374
random-790-nodos-4,0.5,380,20,1000,10,790,4,5,17204804
random-910-nodos-1,0.5,380,20,1000,10,910,1,5,21256053
random-780-nodos-3,0.5,380,20,1000,10,780,3,5,15283901
random-690-nodos-2,0.5,380,20,1000,10,690,2,5,13077962
random-920-nodos-1,0.5,380,20,1000,10,920,1,5,18557757
random-570-nodos-2,0.5,380,20,1000,10,570,2,5,10424753
random-150-nodos-4,0.5,380,20,1000,10,150,4,5,6863305
random-780-nodos-4,0.5,380,20,1000,10,780,4,5,17439404
random-630-nodos-3,0.5,380,20,1000,10,630,3,5,10696971
random-850-nodos-4,0.5,380,20,1000,10,850,4,5,21066995
random-400-nodos-0,0.5,380,20,1000,10,400,0,5,8154804
random-410-nodos-2,0.5,380,20,1000,10,410,2,5,7940642
random-370-nodos-4,0.5,380,20,1000,10,370,4,5,6870996
random-270-nodos-3,0.5,380,20,1000,10,270,3,5,7105240
