nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,val
random-0.7499999999999999-pdens-161-cant_nodos-1,161,0.5,0.7499999999999999,20,1,1,1.59539e-13
random-0.5499999999999999-pdens-121-cant_nodos-1,121,0.5,0.5499999999999999,20,1,1,8.53762e-14
random-0.24999999999999997-pdens-381-cant_nodos-1,381,0.5,0.24999999999999997,20,1,1,4.89719e-13
random-0.7999999999999999-pdens-21-cant_nodos-1,21,0.5,0.7999999999999999,20,1,1,5.77316e-15
random-0.15-pdens-381-cant_nodos-1,381,0.5,0.15,20,1,1,4.66627e-13
random-0.6-pdens-1-cant_nodos-1,1,0.5,0.6,20,1,1,0.0
random-0.95-pdens-21-cant_nodos-1,21,0.5,0.95,20,1,1,8.43769e-15
random-0.6499999999999999-pdens-381-cant_nodos-1,381,0.5,0.6499999999999999,20,1,1,5.32241e-13
random-0.7999999999999999-pdens-361-cant_nodos-1,361,0.5,0.7999999999999999,20,1,1,5.06706e-13
random-0.09999999999999999-pdens-221-cant_nodos-1,221,0.5,0.09999999999999999,20,1,1,2.07168e-13
random-0.39999999999999997-pdens-321-cant_nodos-1,321,0.5,0.39999999999999997,20,1,1,3.88689e-13
random-0.44999999999999996-pdens-261-cant_nodos-1,261,0.5,0.44999999999999996,20,1,1,2.77445e-13
random-0.0-pdens-61-cant_nodos-1,61,0.5,0.0,20,1,1,0.0
random-0.0-pdens-301-cant_nodos-1,301,0.5,0.0,20,1,1,0.0
random-0.95-pdens-261-cant_nodos-1,261,0.5,0.95,20,1,1,2.4647e-13
random-0.35-pdens-101-cant_nodos-1,101,0.5,0.35,20,1,1,6.40599e-14
random-0.7-pdens-401-cant_nodos-1,401,0.5,0.7,20,1,1,5.88196e-13
random-0.5499999999999999-pdens-481-cant_nodos-1,481,0.5,0.5499999999999999,20,1,1,6.91225e-13
random-0.19999999999999998-pdens-101-cant_nodos-1,101,0.5,0.19999999999999998,20,1,1,6.26166e-14
random-0.49999999999999994-pdens-241-cant_nodos-1,241,0.5,0.49999999999999994,20,1,1,2.67897e-13
random-0.49999999999999994-pdens-81-cant_nodos-1,81,0.5,0.49999999999999994,20,1,1,4.29656e-14
random-0.7999999999999999-pdens-421-cant_nodos-1,421,0.5,0.7999999999999999,20,1,1,6.1573e-13
random-0.39999999999999997-pdens-461-cant_nodos-1,461,0.5,0.39999999999999997,20,1,1,7.11098e-13
random-0.3-pdens-241-cant_nodos-1,241,0.5,0.3,20,1,1,2.66009e-13
random-0.7499999999999999-pdens-481-cant_nodos-1,481,0.5,0.7499999999999999,20,1,1,7.51843e-13
random-0.35-pdens-141-cant_nodos-1,141,0.5,0.35,20,1,1,1.05027e-13
random-0.7-pdens-441-cant_nodos-1,441,0.5,0.7,20,1,1,7.12541e-13
random-0.95-pdens-221-cant_nodos-1,221,0.5,0.95,20,1,1,2.1827e-13
random-0.6-pdens-81-cant_nodos-1,81,0.5,0.6,20,1,1,4.79616e-14
random-0.0-pdens-341-cant_nodos-1,341,0.5,0.0,20,1,1,0.0
random-0.0-pdens-21-cant_nodos-1,21,0.5,0.0,20,1,1,0.0
random-0.35-pdens-1-cant_nodos-1,1,0.5,0.35,20,1,1,0.0
random-0.3-pdens-201-cant_nodos-1,201,0.5,0.3,20,1,1,2.02838e-13
random-0.39999999999999997-pdens-421-cant_nodos-1,421,0.5,0.39999999999999997,20,1,1,5.68212e-13
random-0.6499999999999999-pdens-481-cant_nodos-1,481,0.5,0.6499999999999999,20,1,1,7.87259e-13
random-0.7999999999999999-pdens-461-cant_nodos-1,461,0.5,0.7999999999999999,20,1,1,7.23976e-13
random-0.15-pdens-481-cant_nodos-1,481,0.5,0.15,20,1,1,6.63136e-13
random-0.49999999999999994-pdens-201-cant_nodos-1,201,0.5,0.49999999999999994,20,1,1,1.83964e-13
random-0.39999999999999997-pdens-41-cant_nodos-1,41,0.5,0.39999999999999997,20,1,1,2.12053e-14
random-0.24999999999999997-pdens-481-cant_nodos-1,481,0.5,0.24999999999999997,20,1,1,6.98663e-13
random-0.19999999999999998-pdens-141-cant_nodos-1,141,0.5,0.19999999999999998,20,1,1,1.13687e-13
random-0.8999999999999999-pdens-141-cant_nodos-1,141,0.5,0.8999999999999999,20,1,1,1.25455e-13
random-0.0-pdens-241-cant_nodos-1,241,0.5,0.0,20,1,1,0.0
random-0.049999999999999996-pdens-141-cant_nodos-1,141,0.5,0.049999999999999996,20,1,1,6.18394e-14
random-0.95-pdens-321-cant_nodos-1,321,0.5,0.95,20,1,1,3.54827e-13
random-0.049999999999999996-pdens-41-cant_nodos-1,41,0.5,0.049999999999999996,20,1,1,5.44009e-15
random-0.7-pdens-41-cant_nodos-1,41,0.5,0.7,20,1,1,1.75415e-14
random-0.5499999999999999-pdens-81-cant_nodos-1,81,0.5,0.5499999999999999,20,1,1,5.39568e-14
random-0.95-pdens-1-cant_nodos-1,1,0.5,0.95,20,1,1,0.0
random-0.49999999999999994-pdens-301-cant_nodos-1,301,0.5,0.49999999999999994,20,1,1,3.5838e-13
random-0.09999999999999999-pdens-421-cant_nodos-1,421,0.5,0.09999999999999999,20,1,1,5.04929e-13
random-0.44999999999999996-pdens-461-cant_nodos-1,461,0.5,0.44999999999999996,20,1,1,6.58695e-13
random-0.3-pdens-301-cant_nodos-1,301,0.5,0.3,20,1,1,3.39395e-13
random-0.49999999999999994-pdens-1-cant_nodos-1,1,0.5,0.49999999999999994,20,1,1,0.0
random-0.95-pdens-361-cant_nodos-1,361,0.5,0.95,20,1,1,4.52305e-13
random-0.0-pdens-201-cant_nodos-1,201,0.5,0.0,20,1,1,0.0
random-0.049999999999999996-pdens-101-cant_nodos-1,101,0.5,0.049999999999999996,20,1,1,4.21885e-14
random-0.8999999999999999-pdens-101-cant_nodos-1,101,0.5,0.8999999999999999,20,1,1,6.23945e-14
random-0.3-pdens-341-cant_nodos-1,341,0.5,0.3,20,1,1,4.31877e-13
random-0.44999999999999996-pdens-421-cant_nodos-1,421,0.5,0.44999999999999996,20,1,1,5.85532e-13
random-0.19999999999999998-pdens-1-cant_nodos-1,1,0.5,0.19999999999999998,20,1,1,0.0
random-0.09999999999999999-pdens-461-cant_nodos-1,461,0.5,0.09999999999999999,20,1,1,5.89528e-13
random-0.49999999999999994-pdens-341-cant_nodos-1,341,0.5,0.49999999999999994,20,1,1,4.40536e-13
random-0.95-pdens-181-cant_nodos-1,181,0.5,0.95,20,1,1,1.80855e-13
random-0.7499999999999999-pdens-281-cant_nodos-1,281,0.5,0.7499999999999999,20,1,1,3.1819e-13
random-0.44999999999999996-pdens-21-cant_nodos-1,21,0.5,0.44999999999999996,20,1,1,4.32987e-15
random-0.7-pdens-241-cant_nodos-1,241,0.5,0.7,20,1,1,2.63123e-13
random-0.44999999999999996-pdens-1-cant_nodos-1,1,0.5,0.44999999999999996,20,1,1,0.0
random-0.95-pdens-421-cant_nodos-1,421,0.5,0.95,20,1,1,5.52225e-13
random-0.19999999999999998-pdens-61-cant_nodos-1,61,0.5,0.19999999999999998,20,1,1,2.42029e-14
random-0.15-pdens-1-cant_nodos-1,1,0.5,0.15,20,1,1,0.0
random-0.44999999999999996-pdens-181-cant_nodos-1,181,0.5,0.44999999999999996,20,1,1,1.5532e-13
random-0.3-pdens-401-cant_nodos-1,401,0.5,0.3,20,1,1,5.29132e-13
random-0.44999999999999996-pdens-361-cant_nodos-1,361,0.5,0.44999999999999996,20,1,1,4.77174e-13
random-0.39999999999999997-pdens-221-cant_nodos-1,221,0.5,0.39999999999999997,20,1,1,2.28373e-13
random-0.09999999999999999-pdens-321-cant_nodos-1,321,0.5,0.09999999999999999,20,1,1,3.36176e-13
random-0.7999999999999999-pdens-261-cant_nodos-1,261,0.5,0.7999999999999999,20,1,1,2.9865e-13
random-0.6499999999999999-pdens-281-cant_nodos-1,281,0.5,0.6499999999999999,20,1,1,3.63931e-13
random-0.49999999999999994-pdens-401-cant_nodos-1,401,0.5,0.49999999999999994,20,1,1,5.4956e-13
random-0.15-pdens-281-cant_nodos-1,281,0.5,0.15,20,1,1,2.77445e-13
random-0.85-pdens-101-cant_nodos-1,101,0.5,0.85,20,1,1,7.78266e-14
random-0.24999999999999997-pdens-281-cant_nodos-1,281,0.5,0.24999999999999997,20,1,1,3.18967e-13
random-0.15-pdens-81-cant_nodos-1,81,0.5,0.15,20,1,1,3.88578e-14
random-0.09999999999999999-pdens-181-cant_nodos-1,181,0.5,0.09999999999999999,20,1,1,1.47882e-13
random-0.19999999999999998-pdens-21-cant_nodos-1,21,0.5,0.19999999999999998,20,1,1,2.77556e-15
random-0.95-pdens-461-cant_nodos-1,461,0.5,0.95,20,1,1,8.20122e-13
random-0.7-pdens-201-cant_nodos-1,201,0.5,0.7,20,1,1,1.98064e-13
random-0.44999999999999996-pdens-61-cant_nodos-1,61,0.5,0.44999999999999996,20,1,1,3.23075e-14
random-0.5499999999999999-pdens-281-cant_nodos-1,281,0.5,0.5499999999999999,20,1,1,3.8447e-13
random-0.85-pdens-141-cant_nodos-1,141,0.5,0.85,20,1,1,9.99201e-14
random-0.49999999999999994-pdens-441-cant_nodos-1,441,0.5,0.49999999999999994,20,1,1,6.56475e-13
random-0.09999999999999999-pdens-361-cant_nodos-1,361,0.5,0.09999999999999999,20,1,1,4.61742e-13
random-0.7999999999999999-pdens-221-cant_nodos-1,221,0.5,0.7999999999999999,20,1,1,2.47358e-13
random-0.39999999999999997-pdens-261-cant_nodos-1,261,0.5,0.39999999999999997,20,1,1,3.02092e-13
random-0.44999999999999996-pdens-321-cant_nodos-1,321,0.5,0.44999999999999996,20,1,1,3.71481e-13
random-0.3-pdens-441-cant_nodos-1,441,0.5,0.3,20,1,1,6.5048e-13
random-0.7999999999999999-pdens-441-cant_nodos-1,441,0.5,0.7999999999999999,20,1,1,6.06959e-13
random-0.0-pdens-181-cant_nodos-1,181,0.5,0.0,20,1,1,0.0
random-0.049999999999999996-pdens-281-cant_nodos-1,281,0.5,0.049999999999999996,20,1,1,2.66454e-13
