nombre,n,p,p_densidad,cant_densidades,nro_intento,cant_intentos,tiempo_ns
random-0.991991991991992-pdens-4,200,0.5,0.991991991991992,1000,4,5,72987810
random-0.32932932932932935-pdens-4,200,0.5,0.32932932932932935,1000,4,5,50396239
random-0.016016016016016016-pdens-2,200,0.5,0.016016016016016016,1000,2,5,10944297
random-0.5475475475475475-pdens-2,200,0.5,0.5475475475475475,1000,2,5,58443525
random-0.950950950950951-pdens-2,200,0.5,0.950950950950951,1000,2,5,71057921
random-0.44744744744744747-pdens-4,200,0.5,0.44744744744744747,1000,4,5,54874015
random-0.4344344344344344-pdens-1,200,0.5,0.4344344344344344,1000,1,5,58950088
random-0.3103103103103103-pdens-4,200,0.5,0.3103103103103103,1000,4,5,51962252
random-0.9419419419419419-pdens-2,200,0.5,0.9419419419419419,1000,2,5,69628160
random-0.23423423423423423-pdens-2,200,0.5,0.23423423423423423,1000,2,5,45959303
random-0.2862862862862863-pdens-0,200,0.5,0.2862862862862863,1000,0,5,51102041
random-0.15815815815815815-pdens-3,200,0.5,0.15815815815815815,1000,3,5,42023958
random-0.3783783783783784-pdens-2,200,0.5,0.3783783783783784,1000,2,5,56063458
random-0.6306306306306306-pdens-4,200,0.5,0.6306306306306306,1000,4,5,62710658
random-0.7207207207207207-pdens-1,200,0.5,0.7207207207207207,1000,1,5,64213637
random-0.9369369369369369-pdens-1,200,0.5,0.9369369369369369,1000,1,5,77338508
random-0.5375375375375375-pdens-2,200,0.5,0.5375375375375375,1000,2,5,57084956
random-0.7907907907907907-pdens-1,200,0.5,0.7907907907907907,1000,1,5,66834966
random-0.018018018018018018-pdens-1,200,0.5,0.018018018018018018,1000,1,5,10727792
random-0.36436436436436437-pdens-3,200,0.5,0.36436436436436437,1000,3,5,53999734
random-0.9039039039039038-pdens-0,200,0.5,0.9039039039039038,1000,0,5,68153609
random-0.8128128128128128-pdens-1,200,0.5,0.8128128128128128,1000,1,5,66391505
random-0.23423423423423423-pdens-0,200,0.5,0.23423423423423423,1000,0,5,45274085
random-0.938938938938939-pdens-1,200,0.5,0.938938938938939,1000,1,5,68187204
random-0.5985985985985985-pdens-4,200,0.5,0.5985985985985985,1000,4,5,64083433
random-0.6096096096096096-pdens-2,200,0.5,0.6096096096096096,1000,2,5,59767963
random-0.5235235235235235-pdens-1,200,0.5,0.5235235235235235,1000,1,5,56732146
random-0.5555555555555556-pdens-3,200,0.5,0.5555555555555556,1000,3,5,58790230
random-0.4174174174174174-pdens-3,200,0.5,0.4174174174174174,1000,3,5,54062597
random-0.16716716716716717-pdens-3,200,0.5,0.16716716716716717,1000,3,5,45777057
random-0.15715715715715717-pdens-0,200,0.5,0.15715715715715717,1000,0,5,43625154
random-0.43043043043043044-pdens-3,200,0.5,0.43043043043043044,1000,3,5,55178282
random-0.7127127127127127-pdens-2,200,0.5,0.7127127127127127,1000,2,5,63781756
random-0.8798798798798799-pdens-1,200,0.5,0.8798798798798799,1000,1,5,68389066
random-0.9239239239239239-pdens-2,200,0.5,0.9239239239239239,1000,2,5,68204438
random-0.7047047047047047-pdens-4,200,0.5,0.7047047047047047,1000,4,5,63470858
random-0.96996996996997-pdens-0,200,0.5,0.96996996996997,1000,0,5,69869900
random-0.7467467467467468-pdens-1,200,0.5,0.7467467467467468,1000,1,5,64347648
random-0.5965965965965966-pdens-2,200,0.5,0.5965965965965966,1000,2,5,62697333
random-0.8708708708708709-pdens-0,200,0.5,0.8708708708708709,1000,0,5,67654038
random-0.26626626626626626-pdens-2,200,0.5,0.26626626626626626,1000,2,5,47272216
random-0.5385385385385385-pdens-2,200,0.5,0.5385385385385385,1000,2,5,58972245
random-0.17317317317317318-pdens-3,200,0.5,0.17317317317317318,1000,3,5,42903406
