nombre_exp,nombre_img,n_cells,ray_type,ray_cnt,lsq,error,error_std,alpha,cache,tiempo_lsq_pre,tiempo_lsq,cant_autovalores,psnr
expVariandoCantRayos,tomo2,32,2,100,0,0,1,0.0001,1,0,23,100,9.507128761844278
expVariandoCantRayos,tomo2,32,2,1100,0,0,1,0.0001,1,839706,6824,986,20.61377680790121
expVariandoCantRayos,tomo2,32,2,1100,0,0,1,0.0001,1,0,5527,986,20.61388405040499
expVariandoCantRayos,tomo2,32,2,2100,0,0,1,0.0001,1,973600,9493,1024,21.408010032415827
expVariandoCantRayos,tomo2,32,2,2100,0,0,1,0.0001,1,0,8580,1024,21.40799265899817
expVariandoCantRayos,tomo2,32,2,3100,0,0,1,0.0001,1,989776,14379,1024,21.407008962203562
expVariandoCantRayos,tomo2,32,2,3100,0,0,1,0.0001,1,0,11132,1024,21.407019992305205
expVariandoCantRayos,tomo2,32,2,4100,0,0,1,0.0001,1,996686,14167,1024,21.405181825602583
expVariandoCantRayos,tomo2,32,2,4100,0,0,1,0.0001,1,0,14034,1024,21.405189054850403
expVariandoCantRayos,tomo2,32,2,5100,0,0,1,0.0001,1,1001224,17173,1024,21.404826220556078
expVariandoCantRayos,tomo2,32,2,5100,0,0,1,0.0001,1,0,16802,1024,21.404828677728908
expVariandoCantRayos,tomo2,32,2,6100,0,0,1,0.0001,1,1016438,19851,1024,21.40370700071323
expVariandoCantRayos,tomo2,32,2,6100,0,0,1,0.0001,1,0,19648,1024,21.40369720530498
expVariandoCantRayos,tomo2,32,2,7100,0,0,1,0.0001,1,1011923,23028,1024,21.404103773252274
expVariandoCantRayos,tomo2,32,2,7100,0,0,1,0.0001,1,0,22420,1024,21.40410990206523
expVariandoCantRayos,tomo2,32,2,8100,0,0,1,0.0001,1,1014661,26284,1024,21.403675675216718
expVariandoCantRayos,tomo2,32,2,8100,0,0,1,0.0001,1,0,25215,1024,21.403665799854625
expVariandoCantRayos,tomo2,32,2,9100,0,0,1,0.0001,1,1017316,28046,1024,21.400900627249953
expVariandoCantRayos,tomo2,32,2,9100,0,0,1,0.0001,1,0,31639,1024,21.400885982662313
expVariandoCantRayos,tomo2,32,2,10100,0,0,1,0.0001,1,1021907,31374,1024,21.403537999826533
expVariandoCantRayos,tomo2,32,2,10100,0,0,1,0.0001,1,0,31051,1024,21.403545094268246
expVariandoCantRayos,tomo2,32,2,11100,0,0,1,0.0001,1,1025377,35070,1024,21.40288031577221
expVariandoCantRayos,tomo2,32,2,11100,0,0,1,0.0001,1,0,33952,1024,21.402884961172283
expVariandoCantRayos,tomo2,32,2,12100,0,0,1,0.0001,1,1027788,36736,1024,21.404300135763798
expVariandoCantRayos,tomo2,32,2,12100,0,0,1,0.0001,1,0,37155,1024,21.40430918179673
expVariandoCantRayos,tomo2,32,2,13100,0,0,1,0.0001,1,1033428,39913,1024,21.40276925972767
expVariandoCantRayos,tomo2,32,2,13100,0,0,1,0.0001,1,0,40192,1024,21.40275303173403
expVariandoCantRayos,tomo2,32,2,14100,0,0,1,0.0001,1,1038802,42769,1024,21.402452693087564
expVariandoCantRayos,tomo2,32,2,14100,0,0,1,0.0001,1,0,42339,1024,21.402462183724133
expVariandoCantRayos,tomo2,32,2,15100,0,0,1,0.0001,1,1041299,45871,1024,21.402917442244483
expVariandoCantRayos,tomo2,32,2,15100,0,0,1,0.0001,1,0,45087,1024,21.40289931547436
expVariandoCantRayos,tomo2,32,2,16100,0,0,1,0.0001,1,1041946,46881,1024,21.401679187576647
expVariandoCantRayos,tomo2,32,2,16100,0,0,1,0.0001,1,0,48745,1024,21.40169649982841
expVariandoCantRayos,tomo2,32,2,17100,0,0,1,0.0001,1,1047829,50251,1024,21.401946067055995
expVariandoCantRayos,tomo2,32,2,17100,0,0,1,0.0001,1,0,50783,1024,21.401938686354423
expVariandoCantRayos,tomo2,32,2,18100,0,0,1,0.0001,1,1046549,52844,1024,21.402620629182316
expVariandoCantRayos,tomo2,32,2,18100,0,0,1,0.0001,1,0,53895,1024,21.402626369547868
expVariandoCantRayos,tomo2,32,2,19100,0,0,1,0.0001,1,1052453,56009,1024,21.400758588361356
expVariandoCantRayos,tomo2,32,2,19100,0,0,1,0.0001,1,0,58166,1024,21.40075757349665
expVariandoCantRayos,tree,32,0,100,0,0,1,0.0001,1,0,12,63,17.75970204225525
expVariandoCantRayos,tree,32,0,100,0,0,1,0.0001,1,0,12,63,17.75970204225525
expVariandoCantRayos,tree,32,0,1100,0,0,1,0.0001,1,0,87,63,17.759759332380717
expVariandoCantRayos,tree,32,0,1100,0,0,1,0.0001,1,0,87,63,17.759759332380717
expVariandoCantRayos,tree,32,0,2100,0,0,1,0.0001,1,0,163,63,17.759760871517276
expVariandoCantRayos,tree,32,0,2100,0,0,1,0.0001,1,0,164,63,17.759760871517276
expVariandoCantRayos,tree,32,0,3100,0,0,1,0.0001,1,0,248,63,17.759755624570502
expVariandoCantRayos,tree,32,0,3100,0,0,1,0.0001,1,0,240,63,17.759755624570502
expVariandoCantRayos,tree,32,0,4100,0,0,1,0.0001,1,0,317,63,17.75975792500108
expVariandoCantRayos,tree,32,0,4100,0,0,1,0.0001,1,0,321,63,17.75975792500108
expVariandoCantRayos,tree,32,0,5100,0,0,1,0.0001,1,0,399,63,17.75977178435935
expVariandoCantRayos,tree,32,0,5100,0,0,1,0.0001,1,0,399,63,17.75977178435935
expVariandoCantRayos,tree,32,0,6100,0,0,1,0.0001,1,0,500,63,17.759755104745047
expVariandoCantRayos,tree,32,0,6100,0,0,1,0.0001,1,0,496,63,17.759755104745047
expVariandoCantRayos,tree,32,0,7100,0,0,1,0.0001,1,0,604,63,17.75976015855977
expVariandoCantRayos,tree,32,0,7100,0,0,1,0.0001,1,0,630,63,17.75976015855977
expVariandoCantRayos,tree,32,0,8100,0,0,1,0.0001,1,0,730,63,17.759861041824124
expVariandoCantRayos,tree,32,0,8100,0,0,1,0.0001,1,0,827,63,17.759861041824124
expVariandoCantRayos,tree,32,0,9100,0,0,1,0.0001,1,0,851,63,17.759737561557284
expVariandoCantRayos,tree,32,0,9100,0,0,1,0.0001,1,0,868,63,17.759737561557284
expVariandoCantRayos,tree,32,0,10100,0,0,1,0.0001,1,0,1149,63,17.75978090932429
expVariandoCantRayos,tree,32,0,10100,0,0,1,0.0001,1,0,1016,63,17.75978090932429
expVariandoCantRayos,tree,32,0,11100,0,0,1,0.0001,1,0,1341,63,17.759730099348573
expVariandoCantRayos,tree,32,0,11100,0,0,1,0.0001,1,0,1370,63,17.759730099348573
expVariandoCantRayos,tree,32,0,12100,0,0,1,0.0001,1,0,1661,63,17.759762658408963
expVariandoCantRayos,tree,32,0,12100,0,0,1,0.0001,1,0,1676,63,17.759762658408963
expVariandoCantRayos,tree,32,0,13100,0,0,1,0.0001,1,0,1764,63,17.759780079535563
expVariandoCantRayos,tree,32,0,13100,0,0,1,0.0001,1,0,1848,63,17.759780079535563
expVariandoCantRayos,tree,32,0,14100,0,0,1,0.0001,1,0,2051,63,17.759718397435172
expVariandoCantRayos,tree,32,0,14100,0,0,1,0.0001,1,0,1943,63,17.759718397435172
expVariandoCantRayos,tree,32,0,15100,0,0,1,0.0001,1,0,2318,63,17.759743799363783
expVariandoCantRayos,tree,32,0,15100,0,0,1,0.0001,1,0,2254,63,17.759743799363783
expVariandoCantRayos,tree,32,0,16100,0,0,1,0.0001,1,0,2597,63,17.759712533736106
expVariandoCantRayos,tree,32,0,16100,0,0,1,0.0001,1,0,2630,63,17.759712533736106
expVariandoCantRayos,tree,32,0,17100,0,0,1,0.0001,1,0,2745,63,17.759850129143267
expVariandoCantRayos,tree,32,0,17100,0,0,1,0.0001,1,0,2857,63,17.759850129143267
expVariandoCantRayos,tree,32,0,18100,0,0,1,0.0001,1,0,2261,63,17.759785227607342
expVariandoCantRayos,tree,32,0,18100,0,0,1,0.0001,1,0,2251,63,17.759785227607342
expVariandoCantRayos,tree,32,0,19100,0,0,1,0.0001,1,0,2362,63,17.759608196202432
expVariandoCantRayos,tree,32,0,19100,0,0,1,0.0001,1,0,2362,63,17.759608196202432
expVariandoCantRayos,tree,32,1,100,0,0,1,0.0001,1,0,23,100,6.412558468412247
expVariandoCantRayos,tree,32,1,100,0,0,1,0.0001,1,0,22,100,6.412558468412247
expVariandoCantRayos,tree,32,1,1100,0,0,1,0.0001,1,0,4272,850,12.075156968619575
expVariandoCantRayos,tree,32,1,1100,0,0,1,0.0001,1,0,4655,850,12.075156968619575
expVariandoCantRayos,tree,32,1,2100,0,0,1,0.0001,1,0,6709,871,13.351425363617677
expVariandoCantRayos,tree,32,1,2100,0,0,1,0.0001,1,0,6704,871,13.351425363617677
expVariandoCantRayos,tree,32,1,3100,0,0,1,0.0001,1,0,9242,875,17.9690853355744
